id,sku,field,existing_value,archive_value,final_value,reason
product-035467,035467,period,,,,both-empty
product-035467,035467,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-reg4308,REG4308,title,Dominique et Cie French Art Deco Mahogany Beige and Gold Patterned Upholstered Dining / Side Chairs,Dominique et Cie French Art Deco Mahogany Beige and Gold Patterned Upholstered Dining / Side Chairs,Dominique et Cie French Art Deco Mahogany Beige and Gold Patterned Upholstered Dining / Side Chairs,unchanged-same
product-reg4308,REG4308,description,"SET of 10 French Art Deco dining / side chairs with brown lacquered frames and shaped legs, upholstered in a beige patterned fabric with veins of gold, bordered with matching piping. (DOMINIQUE ET CIE)(PRICED AS SET).","SET of 10 French Art Deco dining / side chairs with brown lacquered frames and shaped legs, upholstered in a beige patterned fabric with veins of gold, bordered with matching piping. (DOMINIQUE ET CIE)(PRICED AS SET).","SET of 10 French Art Deco dining / side chairs with brown lacquered frames and shaped legs, upholstered in a beige patterned fabric with veins of gold, bordered with matching piping. (DOMINIQUE ET CIE)(PRICED AS SET).",unchanged-same
product-reg4308,REG4308,dimensions,,,,both-empty
product-reg4308,REG4308,price,"$28,000","$28,000","$28,000",unchanged-same
product-reg4308,REG4308,material,,"Fabric, mahogany, upholstered, wood","Fabric, mahogany, upholstered, wood",filled-from-archive
product-reg4308,REG4308,style,Art Deco,Art Deco,Art Deco,unchanged-same
product-reg4308,REG4308,period,,,,both-empty
product-reg4308,REG4308,availability,,,,both-empty
product-035467c,035467C,title,Pair of Italian Renaissance Iron Page Figures,Pair of Italian Renaissance Iron Page Figures,Pair of Italian Renaissance Iron Page Figures,unchanged-same
product-035467c,035467C,description,PAIR of Italian Renaissance style (19/20th Cent) iron life size page figures holding torch..,PAIR of Italian Renaissance style (19/20th Cent) iron life size page figures holding torch..,PAIR of Italian Renaissance style (19/20th Cent) iron life size page figures holding torch..,unchanged-same
product-035467c,035467C,dimensions,,,,both-empty
product-035467c,035467C,price,"$48,000","$48,000","$48,000",unchanged-same
product-035467c,035467C,material,,"Iron, iron / wrought iron","Iron, iron / wrought iron",filled-from-archive
product-035467c,035467C,style,Italian,Italian,Italian,unchanged-same
product-035467c,035467C,period,,,,both-empty
product-035467c,035467C,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-reg5565,REG5565,title,Pair of Italian Baroque Silver Gilt and Painted Hand Form Reliquaries,Pair of Italian Baroque Silver Gilt and Painted Hand Form Reliquaries,Pair of Italian Baroque Silver Gilt and Painted Hand Form Reliquaries,unchanged-same
product-reg5565,REG5565,description,PAIR of Italian Baroque (possibly 17th Century) Silver Gilt and Painted Hand Form religious Reliquaries (PRICED AS PAIR).,PAIR of Italian Baroque (possibly 17th Century) Silver Gilt and Painted Hand Form religious Reliquaries (PRICED AS PAIR).,PAIR of Italian Baroque (possibly 17th Century) Silver Gilt and Painted Hand Form religious Reliquaries (PRICED AS PAIR).,unchanged-same
product-reg5565,REG5565,dimensions,,,,both-empty
product-reg5565,REG5565,price,"$6,500","$6,500","$6,500",unchanged-same
product-reg5565,REG5565,material,,,,both-empty
product-reg5565,REG5565,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-reg5565,REG5565,period,,,,both-empty
product-reg5565,REG5565,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-032270,032270,title,Set of 3 Italian Renaissance Musical Figures,Set of 3 Italian Renaissance Musical Figures,Set of 3 Italian Renaissance Musical Figures,unchanged-same
product-032270,032270,description,SET of 3 Italian Renaissance style (19th Cent) stripped large figures/statues playing musical instruments (PRICED AS SET).,SET of 3 Italian Renaissance style (19th Cent) stripped large figures/statues playing musical instruments (PRICED AS SET).,SET of 3 Italian Renaissance style (19th Cent) stripped large figures/statues playing musical instruments (PRICED AS SET).,unchanged-same
product-032270,032270,dimensions,,,,both-empty
product-032270,032270,price,"$21,000","$21,000","$21,000",unchanged-same
product-032270,032270,material,,Stripped,Stripped,filled-from-archive
product-032270,032270,style,Italian,Italian,Italian,unchanged-same
product-032270,032270,period,,,,both-empty
product-032270,032270,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-042411a,042411A,title,Native American Northwest Totem Pole,Native American Northwest Totem Pole,Native American Northwest Totem Pole,unchanged-same
product-042411a,042411A,description,American Northwest Native American carved and painted totem pole (Kwakult or Nootka) (19th Cent.).,American Northwest Native American carved and painted totem pole (Kwakult or Nootka) (19th Cent.).,American Northwest Native American carved and painted totem pole (Kwakult or Nootka) (19th Cent.).,unchanged-same
product-042411a,042411A,dimensions,,,,both-empty
product-042411a,042411A,price,"$15,750","$15,750","$15,750",unchanged-same
product-042411a,042411A,material,,"Carved, painted","Carved, painted",filled-from-archive
product-042411a,042411A,style,American,American,American,unchanged-same
product-042411a,042411A,period,,,,both-empty
product-042411a,042411A,availability,,,,both-empty
product-duf0836,DUF0836,title,"Pair of Luther Conover Mid-Century American ""Horseshoe"" Metal and Wood Counter Stools","Pair of Luther Conover Mid-Century American ""Horseshoe""  Metal and Wood Counter Stools","Pair of Luther Conover Mid-Century American ""Horseshoe"" Metal and Wood Counter Stools",kept-existing
product-duf0836,DUF0836,description,"PAIR of Mid-Century American (1950s) ""Horseshoe"" counter stools with flat wooden oval seats resting on splayed black iron tripod frames with curved crossbars. (LUTHER CONOVER)(PRICED AS PAIR).","PAIR of Mid-Century American (1950s) ""Horseshoe"" counter stools with flat wooden oval seats resting on splayed black iron tripod frames with curved crossbars. (LUTHER CONOVER)(PRICED AS PAIR).","PAIR of Mid-Century American (1950s) ""Horseshoe"" counter stools with flat wooden oval seats resting on splayed black iron tripod frames with curved crossbars. (LUTHER CONOVER)(PRICED AS PAIR).",unchanged-same
product-duf0836,DUF0836,dimensions,,,,both-empty
product-duf0836,DUF0836,price,"$3,200","$3,200","$3,200",unchanged-same
product-duf0836,DUF0836,material,,"Iron, metal, wood","Iron, metal, wood",filled-from-archive
product-duf0836,DUF0836,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-duf0836,DUF0836,period,,,,both-empty
product-duf0836,DUF0836,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-064347,064347,title,American Contemporary Mustard Yellow Velvet Chairs,American Contemporary Mustard Yellow Velvet Chairs,American Contemporary Mustard Yellow Velvet Chairs,unchanged-same
product-064347,064347,description,"PAIR of American Contemporary chairs with mustard yellow velvet upholstery with a seat cushion, ending on outward and tapered metal legs with gold finish (PRICED AS PAIR).","PAIR of American Contemporary chairs with mustard yellow velvet upholstery with a seat cushion, ending on outward and tapered metal legs with gold finish (PRICED AS PAIR).","PAIR of American Contemporary chairs with mustard yellow velvet upholstery with a seat cushion, ending on outward and tapered metal legs with gold finish (PRICED AS PAIR).",unchanged-same
product-064347,064347,dimensions,,,,both-empty
product-064347,064347,price,"$3,500","$3,500","$3,500",unchanged-same
product-064347,064347,material,,Velvet,Velvet,filled-from-archive
product-064347,064347,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-064347,064347,period,,,,both-empty
product-064347,064347,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-reg9113,REG9113,title,American Petried Wood Table Sculpture,American Petried Wood Table Sculpture,American Petried Wood Table Sculpture,unchanged-same
product-reg9113,REG9113,description,American Mid-Century Modern style petrified wood slice sculpture mounted on a black metal base.,American Mid-Century Modern style petrified wood slice sculpture mounted on a black metal base.,American Mid-Century Modern style petrified wood slice sculpture mounted on a black metal base.,unchanged-same
product-reg9113,REG9113,dimensions,,,,both-empty
product-reg9113,REG9113,price,"$1,250","$1,250","$1,250",unchanged-same
product-reg9113,REG9113,material,,,,both-empty
product-reg9113,REG9113,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-reg9113,REG9113,period,,,,both-empty
product-reg9113,REG9113,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-064280,064280,title,Arthur Umanoff American Mid-Century Slatted Wooden Bar Stools,Arthur Umanoff American Mid-Century Slatted Wooden Bar Stools,Arthur Umanoff American Mid-Century Slatted Wooden Bar Stools,unchanged-same
product-064280,064280,description,10 American Mid-Century slatted wooden swivel seat bar stools with woven rush backs and wrought iron frames. (ARTHUR UMANOFF for RAYMOR) (PRICED EACH - Available Individually).,10 American Mid-Century slatted wooden swivel seat bar stools with woven rush backs and wrought iron frames. (ARTHUR UMANOFF for RAYMOR) (PRICED EACH - Available Individually).,10 American Mid-Century slatted wooden swivel seat bar stools with woven rush backs and wrought iron frames. (ARTHUR UMANOFF for RAYMOR) (PRICED EACH - Available Individually).,unchanged-same
product-064280,064280,dimensions,,,,both-empty
product-064280,064280,price,$750,$750,$750,unchanged-same
product-064280,064280,material,,"Jute, leather, metal","Jute, leather, metal",filled-from-archive
product-064280,064280,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-064280,064280,period,,,,both-empty
product-064280,064280,availability,Available Qty: 10,Available Qty: 10,Available Qty: 10,unchanged-same
product-reg4814,REG4814,title,Art Deco French Shagreen and Rosewood Cheval Mirror,Art Deco French Shagreen and Rosewood Cheval Mirror,Art Deco French Shagreen and Rosewood Cheval Mirror,unchanged-same
product-reg4814,REG4814,description,"French Art Deco (1930s) shagreen and rosewood rectangular octagonal cheval mirror with inlaid and shagreen border along the frame, hinged to pivot by two parallel supports and resting on a stepped rosewood and shagreen base..","French Art Deco (1930s) shagreen and rosewood rectangular octagonal cheval mirror with inlaid and shagreen border along the frame, hinged to pivot by two parallel supports and resting on a stepped rosewood and shagreen base..","French Art Deco (1930s) shagreen and rosewood rectangular octagonal cheval mirror with inlaid and shagreen border along the frame, hinged to pivot by two parallel supports and resting on a stepped rosewood and shagreen base..",unchanged-same
product-reg4814,REG4814,dimensions,,,,both-empty
product-reg4814,REG4814,price,"$18,750","$18,750","$18,750",unchanged-same
product-reg4814,REG4814,material,,"Mirror, rosewood, shagreen, wood","Mirror, rosewood, shagreen, wood",filled-from-archive
product-reg4814,REG4814,style,Art Deco,Art Deco,Art Deco,unchanged-same
product-reg4814,REG4814,period,,,,both-empty
product-reg4814,REG4814,availability,,,,both-empty
product-nwl8740,NWL8740,title,"Kar Studio Chinese Contemporary ""Samurai Sword"" Chair","Kar Studio Chinese Contemporary ""Samurai Sword"" Chair","Kar Studio Chinese Contemporary ""Samurai Sword"" Chair",unchanged-same
product-nwl8740,NWL8740,description,"SET of 4 Contemporary dining chairs representing a silhouette of a Samurai sword from the front profile, bearing triangular seats with elongated back rests ending on cuboid plinth base (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","SET of 4 Contemporary dining chairs representing a silhouette of a Samurai sword from the front profile, bearing triangular seats with elongated back rests ending on cuboid plinth base (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with NEWEL..","SET of 4 Contemporary dining chairs representing a silhouette of a Samurai sword from the front profile, bearing triangular seats with elongated back rests ending on cuboid plinth base (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8740,NWL8740,dimensions,,,,both-empty
product-nwl8740,NWL8740,price,"$2,850","$2,850","$2,850",unchanged-same
product-nwl8740,NWL8740,material,,,,both-empty
product-nwl8740,NWL8740,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8740,NWL8740,period,,,,both-empty
product-nwl8740,NWL8740,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-duf0834,DUF0834,title,Cleo Baldon for Terra of California Mid-Century American X-Frame Beige Barstool,Cleo Baldon for Terra of California Mid-Century American X-Frame Beige Barstool,Cleo Baldon for Terra of California Mid-Century American X-Frame Beige Barstool,unchanged-same
product-duf0834,DUF0834,description,"Mid-Century American (1970s) X-frame bar stool with beige woven fabric upholstered seat pads with button tufted detail, resting on sturdy iron and oak frames. (CLEO BALDON FOR TERRA OF CALIFORNIA)(Other examples in different upholstery: DUF0830, DUF0832, DUF0833).","Mid-Century American (1970s) X-frame bar stool with beige woven fabric upholstered seat pads with button tufted detail, resting on sturdy iron and oak frames. (CLEO BALDON FOR TERRA OF CALIFORNIA)(Other examples in different upholstery: DUF0830, DUF0832, DUF0833).","Mid-Century American (1970s) X-frame bar stool with beige woven fabric upholstered seat pads with button tufted detail, resting on sturdy iron and oak frames. (CLEO BALDON FOR TERRA OF CALIFORNIA)(Other examples in different upholstery: DUF0830, DUF0832, DUF0833).",unchanged-same
product-duf0834,DUF0834,dimensions,,,,both-empty
product-duf0834,DUF0834,price,"$3,800","$3,800","$3,800",unchanged-same
product-duf0834,DUF0834,material,,"Fabric, iron, oak, tufted, upholstered","Fabric, iron, oak, tufted, upholstered",filled-from-archive
product-duf0834,DUF0834,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-duf0834,DUF0834,period,,,,both-empty
product-duf0834,DUF0834,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8702,NWL8702,title,Kar Studio Chinese Contemporary Beige Amorphous Fiberglass Side Chairs,Kar Studio Chinese Contemporary Beige Amorphous Fiberglass Side Chairs,Kar Studio Chinese Contemporary Beige Amorphous Fiberglass Side Chairs,unchanged-same
product-nwl8702,NWL8702,description,"2 Contemporary beige amorphous fiberglass \\""Playdough\\"" side chairs (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","2 Contemporary beige amorphous fiberglass \\""Playdough\\"" side chairs (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with NEWEL..","2 Contemporary beige amorphous fiberglass \\""Playdough\\"" side chairs (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8702,NWL8702,dimensions,,,,both-empty
product-nwl8702,NWL8702,price,"$3,500","$3,500","$3,500",unchanged-same
product-nwl8702,NWL8702,material,,Fiberglass,Fiberglass,filled-from-archive
product-nwl8702,NWL8702,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8702,NWL8702,period,,,,both-empty
product-nwl8702,NWL8702,availability,Available Qty: 2,Available Qty: 2,Available Qty: 2,unchanged-same
product-reg5602,REG5602,title,Raul Varnerin Brazilian Mid-Century Biomorphic Sculpture,Raul Varnerin Brazilian Mid-Century Biomorphic Sculpture,Raul Varnerin Brazilian Mid-Century Biomorphic Sculpture,unchanged-same
product-reg5602,REG5602,description,Brazilian Mid-Century biomorphic sculpture with a rich patina and a minimalistic design having 2 short legs on a rectangular base (base not pictured).,Brazilian Mid-Century biomorphic sculpture with a rich patina and a minimalistic design having 2 short legs on a rectangular base (base not pictured).,Brazilian Mid-Century biomorphic sculpture with a rich patina and a minimalistic design having 2 short legs on a rectangular base (base not pictured).,unchanged-same
product-reg5602,REG5602,dimensions,,,,both-empty
product-reg5602,REG5602,price,"$1,200","$1,200","$1,200",unchanged-same
product-reg5602,REG5602,material,,Wood,Wood,filled-from-archive
product-reg5602,REG5602,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-reg5602,REG5602,period,,,,both-empty
product-reg5602,REG5602,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-dua0040,DUA0040,title,Franco Lafini Italian Mid-Century SIlver Plate and Crystal Crane,Franco Lafini Italian Mid-Century SIlver Plate and Crystal Crane,Franco Lafini Italian Mid-Century SIlver Plate and Crystal Crane,unchanged-same
product-dua0040,DUA0040,description,Italian Mid-Century SIlver Plate and Crystal Figure of a Crane standing on a rectangular base (FRANCO LAFINI).,Italian Mid-Century SIlver Plate and Crystal Figure of a Crane standing on a rectangular base (FRANCO LAFINI).,Italian Mid-Century SIlver Plate and Crystal Figure of a Crane standing on a rectangular base (FRANCO LAFINI).,unchanged-same
product-dua0040,DUA0040,dimensions,,,,both-empty
product-dua0040,DUA0040,price,"$4,250","$4,250","$4,250",unchanged-same
product-dua0040,DUA0040,material,,"Crystal, silver","Crystal, silver",filled-from-archive
product-dua0040,DUA0040,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-dua0040,DUA0040,period,,,,both-empty
product-dua0040,DUA0040,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-reg4281,REG4281,title,Matched Pair of Art Deco Terracotta Sculpture or Statues by Demetre Chiparus,Matched Pair of Art Deco Terracotta Sculpture or Statues by Demetre Chiparus,Matched Pair of Art Deco Terracotta Sculpture or Statues by Demetre Chiparus,unchanged-same
product-reg4281,REG4281,description,PAIR of Art Deco Terracotta Sculpture or Statues by Demetre Chiparus.,PAIR of Art Deco Terracotta Sculpture or Statues by Demetre Chiparus.,PAIR of Art Deco Terracotta Sculpture or Statues by Demetre Chiparus.,unchanged-same
product-reg4281,REG4281,dimensions,,,,both-empty
product-reg4281,REG4281,price,"$35,000","$35,000","$35,000",unchanged-same
product-reg4281,REG4281,material,,,,both-empty
product-reg4281,REG4281,style,Art Deco,Art Deco,Art Deco,unchanged-same
product-reg4281,REG4281,period,,,,both-empty
product-reg4281,REG4281,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-mod2048,MOD2048,title,Nuno Walnut Dining Chair with Cord Seat,Nuno Walnut Dining Chair with Cord Seat,Nuno Walnut Dining Chair with Cord Seat,unchanged-same
product-mod2048,MOD2048,description,"12 ""Nuno"" Mid-Century-style dining side chairs with Danish-inspired design constructed of sustainably harvested FSC-certified American walnut, with a papercord seat in a natural finish (PRICED EACH). (Reynolds Antique House MODERN COLLECTION).","12 ""Nuno"" Mid-Century-style dining side chairs with Danish-inspired design constructed of sustainably harvested FSC-certified American walnut, with a papercord seat in a natural finish (PRICED EACH). (NEWEL MODERN COLLECTION).","12 ""Nuno"" Mid-Century-style dining side chairs with Danish-inspired design constructed of sustainably harvested FSC-certified American walnut, with a papercord seat in a natural finish (PRICED EACH). (Reynolds Antique House MODERN COLLECTION).",kept-existing
product-mod2048,MOD2048,dimensions,,,,both-empty
product-mod2048,MOD2048,price,"$1,045","$1,045","$1,045",unchanged-same
product-mod2048,MOD2048,material,,"Papercord, walnut, wood","Papercord, walnut, wood",filled-from-archive
product-mod2048,MOD2048,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-mod2048,MOD2048,period,,,,both-empty
product-mod2048,MOD2048,availability,,,,both-empty
product-reg5043,REG5043,title,"Pair of Vladimir Kagan Contemporary American ""Nobu"" or ""Cubist"" Walnut Upholstered Dining Chairs","Pair of Vladimir Kagan Contemporary American ""Nobu"" or ""Cubist"" Walnut Upholstered Dining Chairs","Pair of Vladimir Kagan Contemporary American ""Nobu"" or ""Cubist"" Walnut Upholstered Dining Chairs",unchanged-same
product-reg5043,REG5043,description,"PAIR of Contemporary American ""Nobu"" or ""Cubist"" dining chairs feature a flattened minimalist openwork frame with back and seat anchored to the front and back supports, upholstered in a textured beige fabric. (VLADIMIR KAGAN) (PRICED AS PAIR).","PAIR of Contemporary American ""Nobu"" or ""Cubist"" dining chairs feature a flattened minimalist openwork frame with back and seat anchored to the front and back supports, upholstered in a textured beige fabric. (VLADIMIR KAGAN) (PRICED AS PAIR).","PAIR of Contemporary American ""Nobu"" or ""Cubist"" dining chairs feature a flattened minimalist openwork frame with back and seat anchored to the front and back supports, upholstered in a textured beige fabric. (VLADIMIR KAGAN) (PRICED AS PAIR).",unchanged-same
product-reg5043,REG5043,dimensions,,,,both-empty
product-reg5043,REG5043,price,"$5,400","$5,400","$5,400",unchanged-same
product-reg5043,REG5043,material,,"Fabric, textured, upholstered, wood","Fabric, textured, upholstered, wood",filled-from-archive
product-reg5043,REG5043,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-reg5043,REG5043,period,,,,both-empty
product-reg5043,REG5043,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-064336,064336,title,Bentwood Hairpin Scroll Café Walnut Side Chairs,Bentwood Hairpin Scroll Café Walnut Side Chairs,Bentwood Hairpin Scroll Café Walnut Side Chairs,unchanged-same
product-064336,064336,description,10 walnut bentwood café bistro side chairs with hairpin scroll design open back and seat (PRICED EACH).,10 walnut bentwood café bistro side chairs with hairpin scroll design open back and seat (PRICED EACH).,10 walnut bentwood café bistro side chairs with hairpin scroll design open back and seat (PRICED EACH).,unchanged-same
product-064336,064336,dimensions,,,,both-empty
product-064336,064336,price,$450,$450,$450,unchanged-same
product-064336,064336,material,,Walnut,Walnut,filled-from-archive
product-064336,064336,style,Bentwood,Bentwood,Bentwood,unchanged-same
product-064336,064336,period,,,,both-empty
product-064336,064336,availability,Available Qty: 10,Available Qty: 10,Available Qty: 10,unchanged-same
product-064335,064335,title,Bentwood Hairpin Scroll Café Walnut Side Chairs,Bentwood Hairpin Scroll Café Walnut Side Chairs,Bentwood Hairpin Scroll Café Walnut Side Chairs,unchanged-same
product-064335,064335,description,5 bentwood café bistro side chairs with an open scroll back design and seat (PRICED EACH).,5 bentwood café bistro side chairs with an open scroll back design and seat (PRICED EACH).,5 bentwood café bistro side chairs with an open scroll back design and seat (PRICED EACH).,unchanged-same
product-064335,064335,dimensions,,,,both-empty
product-064335,064335,price,$450,$450,$450,unchanged-same
product-064335,064335,material,,,,both-empty
product-064335,064335,style,Bentwood,Bentwood,Bentwood,unchanged-same
product-064335,064335,period,,,,both-empty
product-064335,064335,availability,Available Qty: 5,Available Qty: 5,Available Qty: 5,unchanged-same
product-064345,064345,title,American Mid-Century Brown Leather Lounge Chairs,American Mid-Century Brown Leather Lounge Chairs,American Mid-Century Brown Leather Lounge Chairs,unchanged-same
product-064345,064345,description,PAIR of American Mid-Century Brown Leather Lounge Chairs  witha square back(PRICED AS PAIR).,PAIR of American Mid-Century Brown Leather Lounge Chairs  witha square back(PRICED AS PAIR).,PAIR of American Mid-Century Brown Leather Lounge Chairs  witha square back(PRICED AS PAIR).,unchanged-same
product-064345,064345,dimensions,,,,both-empty
product-064345,064345,price,"$6,500","$6,500","$6,500",unchanged-same
product-064345,064345,material,,Leather,Leather,filled-from-archive
product-064345,064345,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-064345,064345,period,,,,both-empty
product-064345,064345,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-064346,064346,title,English Victorian Chesterfield Style Tufted Brown Leather Lounge Chairs,English Victorian Chesterfield Style Tufted Brown Leather Lounge Chairs,English Victorian Chesterfield Style Tufted Brown Leather Lounge Chairs,unchanged-same
product-064346,064346,description,PAIR of English Victorian Chesterfield Style Tufted Brown Leather square back Lounge Chairs (PRICED AS PAIR).,PAIR of English Victorian Chesterfield Style Tufted Brown Leather square back Lounge Chairs (PRICED AS PAIR).,PAIR of English Victorian Chesterfield Style Tufted Brown Leather square back Lounge Chairs (PRICED AS PAIR).,unchanged-same
product-064346,064346,dimensions,,,,both-empty
product-064346,064346,price,"$5,500","$5,500","$5,500",unchanged-same
product-064346,064346,material,,Leather,Leather,filled-from-archive
product-064346,064346,style,English,English,English,unchanged-same
product-064346,064346,period,,,,both-empty
product-064346,064346,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-duf0869,DUF0869,title,"Pair of Mid-Century American Polished Chrome, Brass and Black Leather Barstools","Pair of Mid-Century American Polished Chrome, Brass and Black Leather Barstools","Pair of Mid-Century American Polished Chrome, Brass and Black Leather Barstools",unchanged-same
product-duf0869,DUF0869,description,"PAIR of Mid-Century American chrome bar stools upholstered in black leather with a rectangular stem anchored to an X-stretcher base reinforced by curved, splayed chrome supports connected to an octagonal brass foot ring. (PRICED AS PAIR).","PAIR of Mid-Century American chrome bar stools upholstered in black leather with a rectangular stem anchored to an X-stretcher base reinforced by curved, splayed chrome supports connected to an octagonal brass foot ring. (PRICED AS PAIR).","PAIR of Mid-Century American chrome bar stools upholstered in black leather with a rectangular stem anchored to an X-stretcher base reinforced by curved, splayed chrome supports connected to an octagonal brass foot ring. (PRICED AS PAIR).",unchanged-same
product-duf0869,DUF0869,dimensions,,,,both-empty
product-duf0869,DUF0869,price,"$12,500","$12,500","$12,500",unchanged-same
product-duf0869,DUF0869,material,,"Brass, chrome, leather, metal, upholstered","Brass, chrome, leather, metal, upholstered",filled-from-archive
product-duf0869,DUF0869,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-duf0869,DUF0869,period,,,,both-empty
product-duf0869,DUF0869,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-duf0898,DUF0898,title,Pair of Mid-Century American Triangular Blue Vinyl Upholstered Wood Bar Stools,Pair of Mid-Century American Triangular Blue Vinyl Upholstered Wood Bar Stools,Pair of Mid-Century American Triangular Blue Vinyl Upholstered Wood Bar Stools,unchanged-same
product-duf0898,DUF0898,description,"Pair of Mid-Century American triangular blue vinyl upholstered bar stools with low backrests, a splayed tripod wood frame and metal twist foot supports..","Pair of Mid-Century American triangular blue vinyl upholstered bar stools with low backrests, a splayed tripod wood frame and metal twist foot supports..","Pair of Mid-Century American triangular blue vinyl upholstered bar stools with low backrests, a splayed tripod wood frame and metal twist foot supports..",unchanged-same
product-duf0898,DUF0898,dimensions,,,,both-empty
product-duf0898,DUF0898,price,"$8,200","$8,200","$8,200",unchanged-same
product-duf0898,DUF0898,material,,"Metal, upholstered, vinyl, wood","Metal, upholstered, vinyl, wood",filled-from-archive
product-duf0898,DUF0898,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-duf0898,DUF0898,period,,,,both-empty
product-duf0898,DUF0898,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-034018,034018,title,Pair of Renaissance Polychromed Kneeling Figures,Pair of Renaissance Polychromed Kneeling Figures,Pair of Renaissance Polychromed Kneeling Figures,unchanged-same
product-034018,034018,description,PAIR of Italian Renaissance style (19th Cent) polychromed life size kneeling figures (similar matching pair with wings #034018A).,PAIR of Italian Renaissance style (19th Cent) polychromed life size kneeling figures (similar matching pair with wings #034018A).,PAIR of Italian Renaissance style (19th Cent) polychromed life size kneeling figures (similar matching pair with wings #034018A).,unchanged-same
product-034018,034018,dimensions,,,,both-empty
product-034018,034018,price,"$18,500","$18,500","$18,500",unchanged-same
product-034018,034018,material,,,,both-empty
product-034018,034018,style,Italian,Italian,Italian,unchanged-same
product-034018,034018,period,,,,both-empty
product-034018,034018,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-reg4008a,REG4008A,title,Set of 5 American Mid-Century Ed Wormley Ebonized With Striped Upholestory Armchair,Set of 5 American Mid-Century Ed Wormley Ebonized With Striped Upholestory Armchair,Set of 5 American Mid-Century Ed Wormley Ebonized With Striped Upholestory Armchair,unchanged-same
product-reg4008a,REG4008A,description,Set of 5 American Mid-Century ebonized wood continuous roundback armchair with black and white stripped upholstery (EDWARD WORMLEY for DUNBAR) (PRICED AS SET) (MATCHING SET of 4 with white upholstery: REG4008B).,Set of 5 American Mid-Century ebonized wood continuous roundback armchair with black and white stripped upholstery (EDWARD WORMLEY for DUNBAR) (PRICED AS SET) (MATCHING SET of 4 with white upholstery: REG4008B).,Set of 5 American Mid-Century ebonized wood continuous roundback armchair with black and white stripped upholstery (EDWARD WORMLEY for DUNBAR) (PRICED AS SET) (MATCHING SET of 4 with white upholstery: REG4008B).,unchanged-same
product-reg4008a,REG4008A,dimensions,,,,both-empty
product-reg4008a,REG4008A,price,"$12,250","$12,250","$12,250",unchanged-same
product-reg4008a,REG4008A,material,,Wood,Wood,filled-from-archive
product-reg4008a,REG4008A,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-reg4008a,REG4008A,period,,,,both-empty
